"author","comment","type","voteCount","replyCount","publishedTimeText","hasCreatorHeart","authorIsChannelOwner","title","pageUrl"
"@Bamtopone","Aneh bener. Gak usah naik ojol. Beli motor dan mobil sendiri. Ngerepotin orang lain. Sebaiknya ibu ini di black List aja dari semua ojol. 😡😡😡😡","comment","136","3","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@bagusrahmat4730","Sok suci sendiri ujung ujungnya menyiksa diri","comment","438","28","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@HerySuryanto-p3k","Wong edan itu bang jangan diangkut","comment","36","1","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@Eriel_54","Nyusahin orang jatuhnya njirrr","comment","1","0","8 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@ldiitvgambir","aamiin","reply","1","0","8 months ago","false","true","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ldiitvgambir","Aamiin","reply","1","0","9 months ago","false","true","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@DedeSalja","I am proud with you, really. Bravo Miss Ida. ❤💪","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@suhartini2622","Semoga ibu Ida Royani&klg Alloh beri nikmat sehat aman slamet barokah,pejuang LDII jaya mulyo❤","comment","5","1","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@SitiSafariah-x8i5d","Alhamdulilah..semoga mas Ben..mbak Ida royani..tetep jdi jamaahnya..aman lancar barokah..","comment","0","1","6 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@gunawan-x1p","ikut salut dan bangga   sama m ida   punya nama besar terkenal di era 70 an ,tapi dia begitu dpt hidayah jadi berjilbab,mengurangi keartisannya,dan berhenti beryanyi setelah tahu suara bernyanyi untuk wanita itu aurot.dan tdk takut miskin jika kehilangan keartisanya.nyatanya tetap kaya dpt penghasilan lain yg lebih halal dan barokah .","comment","4","2","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ekobudiarti5166","👍👍👍","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@yoyoksugiantoro2809","😂😂😂😂😂😂😂","comment","1","0","9 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@sitizaibah3540","LDII memang mantap❤","comment","1","1","11 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@AkunCoc-bh5sk","Mantap  LDII","comment","0","1","10 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@srikhayatun8302","❤❤❤❤","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ahmaddakwahenglishahmad5702","Somasinya kok gak dijwb bu ida tuh suami elo jg gugat vidi aldiano atas lagu nuansa bening mana kabarnya:","comment","0","0","2 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@sukamso73","Bangga dan tetap semangat Ibu Ida R .
Lancar barokah dan sehat selalu","comment","1","1","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@triitjahja1133","Dulu sempat ramai ketika beberapa artis masuk ikut Islam Jama'ah. Termasuk Keenan Nasution","comment","0","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@SedapSoto-t1q","Bang pengen belajar di ldii tp blm pengen gabung boleh kah?","comment","1","1","7 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@karya1874","Mantap bu...ldii mendunia semakin berkembang barokah","comment","1","1","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@mochsyamsun6917","❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@paksutono1214","ALHAMDULILAH JAZAKALLOHU KHOIRO MBAK IDA, SEMOGA KITA2 SELALU KRONO ALLOH SAMPAI KELAK HUSNUL KHOTIMAH, AAMIIN.","comment","2","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@EndangEndang-b5d","Masya Allah MB Ida. Pontianak hadir ❤","comment","2","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@darmanahendar2909","Bukan satu satunya kalau sama benyamin","comment","2","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@Yasmin_23182","Banggalah sebagai warga LDII","comment","6","1","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
